      Lon      Lat    Year    VegC LitterC   SoilC     Total
   -72.25    42.25    1960   6.449   5.131  13.475    25.055
   -72.25    42.25    1961   6.309   5.310  13.474    25.093
   -72.25    42.25    1962   6.370   5.282  13.496    25.148
   -72.25    42.25    1963   6.441   5.219  13.512    25.172
   -72.25    42.25    1964   6.376   5.272  13.534    25.182
   -72.25    42.25    1965   6.301   5.338  13.538    25.177
   -72.25    42.25    1966   6.468   5.203  13.529    25.199
   -72.25    42.25    1967   6.737   5.058  13.504    25.298
   -72.25    42.25    1968   6.827   5.010  13.499    25.337
   -72.25    42.25    1969   7.065   4.908  13.477    25.450
   -72.25    42.25    1970   7.257   4.879  13.471    25.607
   -72.25    42.25    1971   7.127   5.007  13.452    25.586
   -72.25    42.25    1972   7.268   4.938  13.454    25.660
   -72.25    42.25    1973   7.491   4.883  13.441    25.815
   -72.25    42.25    1974   6.899   5.485  13.434    25.817
   -72.25    42.25    1975   7.099   5.286  13.414    25.799
   -72.25    42.25    1976   7.222   5.237  13.402    25.861
   -72.25    42.25    1977   7.115   5.159  13.379    25.652
   -72.25    42.25    1978   7.112   5.206  13.402    25.720
   -72.25    42.25    1979   7.273   5.085  13.367    25.725
   -72.25    42.25    1980   7.213   5.159  13.385    25.758
   -72.25    42.25    1981   7.166   5.198  13.391    25.756
   -72.25    42.25    1982   7.323   5.197  13.382    25.902
   -72.25    42.25    1983   6.892   5.339  13.393    25.624
   -72.25    42.25    1984   6.429   5.224  13.388    25.041
   -72.25    42.25    1985   6.685   5.131  13.365    25.182
   -72.25    42.25    1986   6.873   5.089  13.356    25.318
   -72.25    42.25    1987   6.982   5.020  13.351    25.353
   -72.25    42.25    1988   7.092   4.970  13.335    25.397
   -72.25    42.25    1989   7.333   4.862  13.303    25.498
   -72.25    42.25    1990   7.487   4.820  13.290    25.597
   -72.25    42.25    1991   7.520   4.753  13.271    25.544
   -72.25    42.25    1992   7.705   4.739  13.285    25.729
   -72.25    42.25    1993   7.331   4.752  13.294    25.378
   -72.25    42.25    1994   7.617   4.630  13.258    25.505
   -72.25    42.25    1995   7.598   4.671  13.263    25.532
   -72.25    42.25    1996   7.737   4.643  13.239    25.619
   -72.25    42.25    1997   7.701   4.746  13.265    25.712
   -72.25    42.25    1998   7.832   4.654  13.252    25.738
   -72.25    42.25    1999   7.963   4.574  13.239    25.776
   -72.25    42.25    2000   8.300   4.538  13.218    26.056
   -72.25    42.25    2001   8.318   4.680  13.211    26.209
   -72.25    42.25    2002   8.407   4.676  13.215    26.299
   -72.25    42.25    2003   8.677   4.551  13.178    26.406
   -72.25    42.25    2004   8.839   4.550  13.163    26.552
   -72.25    42.25    2005   8.725   4.689  13.173    26.587
   -72.25    42.25    2006   8.793   4.624  13.160    26.578
   -72.25    42.25    2007   8.713   4.686  13.163    26.563
   -72.25    42.25    2008   8.503   5.100  13.135    26.738
   -72.25    42.25    2009   8.779   5.068  13.116    26.963
   -72.25    42.25    2010   8.581   5.231  13.130    26.941
   -72.25    42.25    2011   8.746   5.118  13.101    26.965
   -72.25    42.25    2012   9.036   5.022  13.080    27.138
   -72.25    42.25    2013   8.863   5.402  13.068    27.332
   -72.25    42.25    2014   8.901   5.410  13.071    27.382
   -72.25    42.25    2015   8.665   5.648  13.071    27.384
