      Lon      Lat    Year    VegC LitterC   SoilC     Total
   -72.25    42.25    1963   4.794   6.033  11.151    21.978
   -72.25    42.25    1964   4.783   5.997  11.167    21.947
   -72.25    42.25    1965   4.789   5.952  11.175    21.916
   -72.25    42.25    1966   4.766   6.034  11.165    21.965
   -72.25    42.25    1967   5.013   5.880  11.148    22.041
   -72.25    42.25    1968   5.180   5.826  11.145    22.151
   -72.25    42.25    1969   5.439   5.702  11.131    22.272
   -72.25    42.25    1970   5.624   5.651  11.133    22.407
   -72.25    42.25    1971   5.717   5.521  11.121    22.359
   -72.25    42.25    1972   5.869   5.460  11.117    22.446
   -72.25    42.25    1973   6.103   5.388  11.107    22.599
   -72.25    42.25    1974   6.297   5.328  11.097    22.723
   -72.25    42.25    1975   6.512   5.210  11.074    22.797
   -72.25    42.25    1976   6.390   5.172  11.064    22.627
   -72.25    42.25    1977   6.608   5.055  11.044    22.707
   -72.25    42.25    1978   6.597   5.110  11.052    22.760
   -72.25    42.25    1979   6.793   4.951  11.020    22.764
   -72.25    42.25    1980   6.760   4.984  11.029    22.772
   -72.25    42.25    1981   6.747   4.988  11.027    22.762
   -72.25    42.25    1982   6.981   4.923  11.015    22.918
   -72.25    42.25    1983   7.024   4.908  11.013    22.945
   -72.25    42.25    1984   7.051   4.907  11.001    22.959
   -72.25    42.25    1985   7.352   4.819  10.981    23.151
   -72.25    42.25    1986   7.324   5.008  10.972    23.305
   -72.25    42.25    1987   7.358   4.985  10.965    23.308
   -72.25    42.25    1988   7.488   4.919  10.950    23.357
   -72.25    42.25    1989   7.738   4.845  10.915    23.498
   -72.25    42.25    1990   7.884   4.826  10.895    23.605
   -72.25    42.25    1991   8.065   4.781  10.875    23.721
   -72.25    42.25    1992   8.236   4.805  10.880    23.922
   -72.25    42.25    1993   8.143   4.873  10.890    23.906
   -72.25    42.25    1994   8.428   4.760  10.866    24.054
   -72.25    42.25    1995   7.682   5.106  10.867    23.654
   -72.25    42.25    1996   7.809   5.017  10.846    23.673
   -72.25    42.25    1997   7.246   5.616  10.854    23.716
   -72.25    42.25    1998   7.067   5.756  10.845    23.667
   -72.25    42.25    1999   7.148   5.673  10.835    23.657
   -72.25    42.25    2000   7.471   5.607  10.817    23.894
   -72.25    42.25    2001   7.511   5.687  10.817    24.015
   -72.25    42.25    2002   7.647   5.612  10.823    24.083
   -72.25    42.25    2003   7.827   5.517  10.801    24.145
   -72.25    42.25    2004   7.985   5.453  10.796    24.234
   -72.25    42.25    2005   7.666   5.467  10.807    23.940
   -72.25    42.25    2006   7.361   5.701  10.761    23.823
   -72.25    42.25    2007   7.326   5.525  10.735    23.586
   -72.25    42.25    2008   7.622   5.236  10.670    23.527
   -72.25    42.25    2009   7.956   5.091  10.610    23.657
   -72.25    42.25    2010   7.356   5.272  10.579    23.206
   -72.25    42.25    2011   7.582   5.183  10.556    23.321
   -72.25    42.25    2012   7.847   5.067  10.514    23.429
   -72.25    42.25    2013   7.870   4.988  10.472    23.329
   -72.25    42.25    2014   7.473   5.292  10.435    23.200
   -72.25    42.25    2015   7.566   5.067  10.393    23.026
